draw,works,n,treated,irr,model_p,perm_p,prod_irr,prod_p,cap10_irr,cap10_perm_p,clause1,clause2,clause3,clause4
0,11500,3466,240,1.2501812917426076,0.00207554991459222,0.027972027972027972,1.351728361254045,8.29979974866833e-08,1.0680607889770546,0.4945054945054945,True,True,True,False
1,11500,3494,237,1.1005783162975453,0.18150340572588042,0.3336663336663337,1.01656279170758,0.7571930392190396,1.1429014151471797,0.18681318681318682,False,False,False,False
2,11500,3532,220,1.182993516024588,0.023378987286672405,0.08391608391608392,1.0695124277624437,0.21667135809635274,1.1776956959911145,0.12987012987012986,True,False,False,False
3,11500,3510,241,1.1249827764936204,0.09792146713706484,0.23176823176823177,0.991037336229527,0.865213328314275,1.120456956034526,0.24675324675324675,False,False,False,False
4,11500,3556,229,1.183931064775996,0.018331325495951397,0.0989010989010989,1.1382552313371563,0.010174306248438568,1.1538128524881706,0.16783216783216784,True,False,True,False
5,11500,3543,241,1.2720287858562305,0.0014791368000962705,0.02197802197802198,1.3410137490836442,1.9292571349350973e-06,1.0944958747801397,0.38161838161838163,True,True,True,False
6,11500,3566,256,1.2220219454107366,0.0040797467215429135,0.026973026973026972,1.1794576349055628,0.0024798223650837233,1.131322467502048,0.21878121878121878,True,True,True,False
7,11500,3639,246,1.0684980558339519,0.35489984112809714,0.47352647352647353,0.9700279110251848,0.5771997449329633,1.1076091839249316,0.2947052947052947,False,False,False,False
8,11500,3531,227,1.0833325776336435,0.27083276764298647,0.3826173826173826,1.005604586023638,0.9165904580028092,1.0877848796039074,0.42157842157842157,False,False,False,False
9,11500,3466,234,1.1031710247414752,0.18826232393462639,0.33966033966033965,0.9361587233455411,0.25403910582265343,1.1751805333578784,0.11788211788211789,False,False,False,False
10,11500,3548,249,1.1456160711142112,0.05667369465451004,0.1838161838161838,0.9953100397771018,0.9324906292973385,1.1392855343301695,0.1888111888111888,False,False,False,False
11,11500,3443,235,1.0782371011628555,0.2920874467825769,0.4645354645354645,0.9834896166713943,0.7496465792954596,1.1101860676826025,0.2777222777222777,False,False,False,False
12,11500,3439,220,1.0692698097844138,0.3688925124348359,0.5094905094905094,1.0037242680556986,0.9456006639560812,1.1064763811939635,0.35264735264735264,False,False,False,False
13,11500,3569,249,1.2669583582598667,0.0008815662973866397,0.011988011988011988,1.2902190804549651,6.225941798891329e-06,1.0655406143941109,0.5064935064935064,True,True,True,False
14,11500,3519,238,1.0365076570758773,0.6154000555282102,0.7322677322677322,1.017443882907375,0.7429160079145265,1.0170912319167955,0.8451548451548452,False,False,False,False
15,11500,3573,220,1.2205674460023874,0.007531220996968593,0.03896103896103896,1.086125873278641,0.1493384677938165,1.1788251962407903,0.11488511488511488,True,True,False,False
16,11500,3640,235,1.2711357714556994,0.0010613730860136437,0.015984015984015984,1.2768870346496553,2.7576108888257513e-05,1.0879354947425488,0.3826173826173826,True,True,True,False
17,11500,3562,241,1.114284994620287,0.13320431511675482,0.2517482517482518,1.073616314256215,0.22411978326241844,1.0369217544385299,0.7312687312687313,False,False,False,False
18,11500,3540,235,1.131589467017903,0.09063886593377783,0.1968031968031968,1.1219554301237504,0.04135414356527416,1.020071606645579,0.8511488511488512,False,False,True,False
19,11500,3499,233,1.1509620985744111,0.053698179734650055,0.14985014985014986,1.0178012019924945,0.7387359896812767,1.1367928978298147,0.21178821178821178,False,False,False,False
20,11500,3545,235,1.10207563904343,0.17215481231479302,0.30569430569430567,0.9445634829375207,0.2775572655299823,1.1242633233409114,0.23576423576423577,False,False,False,False
21,11500,3574,252,1.1562105613095073,0.03788916615830924,0.12687312687312688,1.0705041979445304,0.17492709552176955,1.190522147834469,0.057942057942057944,True,False,False,False
22,11500,3583,239,1.2120068262318173,0.008294242110447889,0.03796203796203796,1.2298174892758922,0.00026981968160436423,1.0934131346179823,0.3956043956043956,True,True,True,False
23,11500,3503,210,1.1013114301181688,0.1978716004221408,0.36563436563436563,0.9957650281649413,0.9351345623895418,1.11086927472789,0.3306693306693307,False,False,False,False
24,11500,3533,248,1.0736748573276347,0.3162014562607567,0.45354645354645357,1.0749765136132092,0.1742157498270449,1.0682619038985375,0.5494505494505495,False,False,False,False
25,11500,3526,234,1.2070249967680107,0.010026027988113442,0.04495504495504495,1.1870599523615866,0.002434678952399987,1.0947537187420546,0.3676323676323676,True,True,True,False
26,11500,3525,240,1.1506193684318722,0.05163207211887282,0.16083916083916083,1.0672997691711654,0.20734948685786192,1.124999582163233,0.2007992007992008,False,False,False,False
27,11500,3616,235,1.1286393743764336,0.10589332712452605,0.23576423576423577,1.0453245633638901,0.4600651154014692,1.0789584206198433,0.48451548451548454,False,False,False,False
28,11500,3572,222,1.085246828478429,0.2606614203924644,0.4255744255744256,1.0543816623923898,0.3350238795852829,1.0560286904521874,0.6183816183816184,False,False,False,False
29,11500,3574,245,1.1605399801212686,0.04290168082326191,0.13886113886113885,1.0262097396923842,0.6626008712451605,1.1713009219986978,0.1068931068931069,True,False,False,False
