draw,works,n,treated,irr,model_p,perm_p,prod_irr,prod_p,cap10_irr,cap10_perm_p,clause1,clause2,clause3,clause4
0,16500,4303,278,1.1806313940602566,0.016159443335766435,0.06993006993006994,1.152258303646689,0.007079006747443733,1.1020418090831094,0.34865134865134867,True,False,True,False
1,16500,4271,274,1.2763471260525874,0.000508229824840487,0.01898101898101898,1.2476967858050925,3.8668363796661615e-05,1.1869542292541329,0.07292707292707293,True,True,True,False
2,16500,4214,287,1.1868872877176067,0.010853834563701113,0.056943056943056944,1.152705075403245,0.001905062332509691,1.13113503559056,0.17282717282717283,True,False,True,False
3,16500,4282,287,1.2091929525785499,0.0046888856372330825,0.03496503496503497,1.2668225245057985,6.143271904437005e-07,1.1075903009799184,0.3016983016983017,True,True,True,False
4,16500,4303,286,1.1970091266734748,0.006885883854312126,0.04795204795204795,1.204540969809919,0.00015355713663648,1.1191795356056964,0.26073926073926074,True,True,True,False
5,16500,4264,290,1.1070859188493323,0.12142685031897783,0.23476523476523475,1.1130285293054005,0.03309690668491818,1.0229698330230999,0.8041958041958042,False,False,True,False
6,16500,4317,293,1.1144280338136332,0.10125529216732185,0.2127872127872128,1.016021962428109,0.729039767382836,1.119619245736894,0.21478521478521478,False,False,False,False
7,16500,4256,265,1.1038131801341737,0.1457348419474502,0.2647352647352647,1.012558873902995,0.7953220734658797,1.1292698145362519,0.2007992007992008,False,False,False,False
8,16500,4302,294,1.2054395324884015,0.005396949730444557,0.03396603396603397,1.190208673338595,0.00041539582599236147,1.1089759978586164,0.28771228771228774,True,True,True,False
9,16500,4226,291,1.223977863092103,0.002249496554793094,0.028971028971028972,1.1690305921439648,0.0010644669691956725,1.1900054825661015,0.08291708291708291,True,True,True,False
10,16500,4382,289,1.2619266052730302,0.00037715324512361333,0.013986013986013986,1.172532249379695,0.0009263913601690373,1.2413065383134112,0.01898101898101898,True,True,True,True
11,16500,4366,291,1.0692257089056783,0.3164203902736984,0.45454545454545453,0.9769429493427885,0.6495035835020414,1.073372727616946,0.45854145854145856,False,False,False,False
12,16500,4373,293,1.2145422652791062,0.0031477869965370175,0.01898101898101898,1.2589208315588867,2.677883372793599e-06,1.1391310383719888,0.17782217782217782,True,True,True,False
13,16500,4294,309,1.1659912967035662,0.016510961126660152,0.07592407592407592,1.1552313466069826,0.0025642722260058514,1.050180160785789,0.6073926073926074,True,False,True,False
14,16500,4336,294,1.2158026947565685,0.0028658543497792318,0.02097902097902098,1.1737829325041491,0.0007507697726546993,1.0866317688716725,0.37462537462537465,True,True,True,False
15,16500,4298,269,1.16568204083328,0.02817633332077962,0.09290709290709291,1.1566825867293786,0.005056456082850639,1.0663758038444784,0.5244755244755245,True,False,True,False
16,16500,4346,297,1.2160385423128892,0.0037394324160755893,0.054945054945054944,1.2283014676188153,7.366094790344879e-05,1.1086700389835813,0.3106893106893107,True,False,True,False
17,16500,4406,283,1.3493712955316566,1.1572740494279566e-05,0.000999000999000999,1.3568392687393753,2.3068165096309315e-08,1.2255926185021675,0.04195804195804196,True,True,True,True
18,16500,4241,289,1.1504006123780983,0.040976323510261585,0.13186813186813187,1.1088541654310962,0.03715812035427594,1.0791348284802187,0.44255744255744256,True,False,True,False
19,16500,4252,275,1.1969706755032627,0.009000738722261195,0.052947052947052944,1.1172782485562853,0.022770329038374518,1.1343332210474715,0.16483516483516483,True,False,True,False
20,16500,4365,283,1.1738630339250873,0.017012945631270416,0.07592407592407592,0.9852149678580795,0.7638873293380442,1.1724072873675269,0.08191808191808192,True,False,False,False
21,16500,4388,287,1.1656660032905553,0.02233333230013612,0.0959040959040959,1.130383058814025,0.016510925816974945,1.1428024392612213,0.14785214785214784,True,False,True,False
22,16500,4290,288,1.0649657022127594,0.355422502224358,0.4875124875124875,1.0203922820538112,0.6935753749387091,1.0568414134173039,0.5704295704295704,False,False,False,False
23,16500,4298,262,1.0554076855911616,0.4425792235226669,0.5934065934065934,1.0006868155715203,0.9894073354404005,1.0820551658648356,0.4275724275724276,False,False,False,False
24,16500,4377,305,1.1170515469480935,0.09755445178583401,0.24275724275724275,1.0565158792264857,0.29137937000281033,1.0669834967576923,0.5034965034965035,False,False,False,False
25,16500,4283,287,1.1078378268769389,0.12081392827903606,0.22577422577422576,1.0948445224442014,0.064257622347245,1.0729653056223056,0.42857142857142855,False,False,False,False
26,16500,4407,290,1.233353731123825,0.0015452658554289014,0.029970029970029972,1.167909406052968,0.0014049562572795353,1.156494445071896,0.11688311688311688,True,True,True,False
27,16500,4410,306,1.1488859211459865,0.035182360516991446,0.10989010989010989,1.1723788373697361,0.0024785815195432948,1.0571762444838386,0.5384615384615384,True,False,True,False
28,16500,4214,281,1.2663433609708126,0.0006223890491783599,0.016983016983016984,1.256441050167345,1.6039121777487366e-05,1.1664819349038538,0.1108891108891109,True,True,True,False
29,16500,4285,287,1.2084024420541004,0.005565586881955794,0.05094905094905095,1.1592709150750014,0.003800760387910427,1.1690838550662868,0.11688311688311688,True,False,True,False
