key,count2000
"-1.3008309,36.8072359",0.0
"-12.0782058,-77.0399865",30.0
"-12.094241,-77.037869",18.0
"-12.9822499,-38.4812772",0.0
"-14.8567487,-40.8414804",0.0
"-2.5387539,140.7037389",0.0
"-22.1646782,144.5844903",0.0
"-22.3880004,-43.1752593",0.0
"-22.8767563,-43.2469314",0.0
"-22.9056391,-47.059564",0.0
"-23.475727,-46.8575864",1.0
"-23.5506507,-46.6333824",0.0
"-23.5570321,-46.6700259",0.0
"-23.585112,-46.7226375",5.0
"-23.5996128,-46.7148798",0.0
"-23.6446564,-46.528415",9.0
"-25.2655556,29.1688889",0.0
"-25.7459277,28.1879101",0.0
"-26.1888766,28.0247912",11.0
"-26.196725,28.0587986",0.0
"-26.205,28.049722",0.0
"-27.4477301,153.0268109",0.0
"-27.4496625,153.0237294",0.0
"-27.4840011,153.026536",0.0
"-27.4981423,153.0111536",0.0
"-27.4987917,153.0328694",0.0
"-27.4988803,153.0316583",0.0
"-27.5124505,153.0459444",0.0
"-27.6034133,-48.5224425",0.0
"-27.959679,153.3817841",0.0
"-27.9633383,153.384692",0.0
"-27.9687807,153.4066696",0.0
"-28.7497123,24.7649375",0.0
"-29.8618145,31.009909",0.0
"-29.8664426,30.9813099",0.0
"-30.0159997,-51.1586261",0.0
"-30.0324999,-51.2303767",0.0
"-30.0386784,-51.2066248",0.0
"-30.0590315,-51.2289574",0.0
"-31.4166867,-64.1834193",0.0
"-31.4299499,152.9103525",0.0
"-31.950652,115.7978755",0.0
"-31.9533073,115.865901",0.0
"-31.9558967,115.8605784",0.0
"-31.968899,115.8094853",0.0
"-31.9693254,115.8170862",0.0
"-31.9799209,115.8057167",0.0
"-32.0680409,115.8448426",0.0
"-32.8774259,-68.875345",0.0
"-32.8927988,151.7011832",0.0
"-32.8950307,151.6978663",0.0
"-32.9023676,151.7312067",0.0
"-32.9219887,151.6986149",0.0
"-33.0449391,-71.6067573",20.0
"-33.1237585,-64.3489782",2.0
"-33.3925103,-70.5729919",0.0
"-33.4042446,-70.5066013",0.0
"-33.4376995,-70.6510671",0.0
"-33.4389599,-70.6223892",0.0
"-33.4417748,-70.6403258",55.0
"-33.443867,-70.6506654",0.0
"-33.4460529,-70.6679426",0.0
"-33.4489016,-70.6816237",0.0
"-33.4494861,-70.6581174",0.0
"-33.4514855,-70.6669849",0.0
"-33.4580688,-70.6634338",83.0
"-33.774197,151.1127138",0.0
"-33.7758881,150.9171174",1.0
"-33.802589,150.9930356",0.0
"-33.8076498,150.9877265",0.0
"-33.8317804,151.201768",1.0
"-33.8475577,151.0729152",0.0
"-33.8644304,151.2022166",0.0
"-33.8687407,151.2094196",0.0
"-33.8698439,151.2082848",8.0
