lat,lon,univ_research_count_5000m
-53.1362147,-70.8787439,5
-43.5232778,172.5823435,7
-42.906822,147.3218083,6
-41.2909873,174.7683059,10
-41.2887953,174.7772114,10
-41.2125751,174.9057626,2
-41.1334781,-71.3101474,5
-38.9394882,-68.0503365,7
-38.7480605,-72.6182905,11
-38.7176522,-62.2654871,11
-38.165166,144.3376679,5
-38.1438524,144.3610011,4
-38.0053216,-57.5708867,14
-37.9976168,-57.5482079,14
-37.9158025,145.1313859,3
-37.9136906,145.1317971,3
-37.8214954,145.0387532,3
-37.8142454,144.9631732,66
-37.8038271,144.9597056,65
-37.8002283,144.9566943,67
-37.7920062,-73.3905027,1
-37.7871148,144.9515533,64
-37.7858739,175.3167665,5
-37.7839745,144.9586743,62
-37.717222,145.0442807,5
-37.6804123,145.0634302,6
-37.6257449,143.8904716,1
-36.8660955,174.7737331,13
-36.8529871,174.76642,12
-36.8266386,-73.0374283,19
-36.8231422,-73.0125121,19
-36.7327011,174.7026709,2
-35.2975906,149.1012676,5
-35.2859435,149.1375906,7
-35.2812742,149.1172023,8
-35.0248752,138.5734181,2
-35.0012814,-71.2302888,8
-34.928776,138.5911348,8
-34.9199476,138.6065332,8
-34.9103419,-56.1526802,39
-34.8966381,-56.1402992,38
-34.888817,-56.1590151,40
-34.8861981,-56.1829191,38
-34.8661905,-56.1354035,19
-34.5825916,-58.4288672,76
-34.5771577,-58.5377237,18
-34.5086718,-58.688352,3
-34.4050554,150.8783465,5
-34.175,-58.9983,3
-34.1702433,-70.740718,8
-34.1207509,18.8808681,0
-34.0516667,150.9847222,0
-33.9618598,25.6186731,2
-33.9567558,18.4675777,17
-33.9326212,18.8650551,0
-33.9288301,18.4172197,19
-33.9175994,151.2312369,14
-33.9153709,18.6339742,7
-33.9064324,18.6270614,8
-33.9062434,151.2346568,15
-33.8889072,151.1894111,17
-33.8841309,151.2012852,17
-33.8832536,151.2003294,17
-33.8783381,151.219225,17
-33.8027875,150.9870903,5
-33.7768611,151.1684658,3
-33.774197,151.1127138,3
-33.7511954,150.6941711,1
-33.6842937,-65.4722828,8
-33.4668523,-70.6831228,110
-33.4514855,-70.6669849,143
-33.4489016,-70.6816237,124
-33.4488881,-70.6604874,147
-33.4460529,-70.6679426,142
-33.443867,-70.6506654,157
-33.4417748,-70.6403258,167
-33.4307864,149.5618286,1
-33.4042446,-70.5066013,8
-33.3994599,-70.600087,44
-33.1237585,-64.3489782,5
-33.0458456,-71.6196749,42
-33.0449391,-71.6067573,46
