wikidata_id,lat,lon,osm_relation_id,country_qid
Q59126263,56.834669,60.791329,,Q159
Q98546218,49.24564,6.93536,,Q183
Q20455546,5.36,100.54972222,7480595,Q833
Q14489975,16.06838,108.08423,,Q881
Q45007283,32.566944444,117.6375,,Q148
Q986206,31.20781,121.6103,,Q148
Q24836334,31.02137,121.4533,,Q148
Q120017310,34.98756,118.25174,,Q148
Q126100978,31.774133341,34.661706486,,Q801
Q56367791,49.813283,24.022484,,Q212
Q97497375,24.06624,90.22681,,Q902
Q13671540,31.1677,121.42515,,Q148
Q122210012,23.3537797,91.1474193,,Q902
Q6840705,20.998144,105.542221,,Q881
Q138634659,22.7161499,90.3491108,,Q902
Q16518261,59.905833333,30.493888888,,Q159
Q10345369,-12.9234309,-38.3880625,,Q155
Q4259473,19.716111111,-156.033611111,,Q30
Q3011553,50.8777,4.412,,Q31
Q3364340,43.962261,4.753935,,Q142
Q403265,42.94446111,-2.66426944,,Q29
Q2974822,50.605555555,3.138611111,7944808,Q142
Q4222421,53.902954,27.976906,,Q184
Q140387159,52.292123,6.784539,,Q55
Q28778,39.637786,2.631011,,Q29
Q15788726,52.625728,13.500843,,Q183
Q2893798,51.8181,-1.30667,,Q145
Q3151103,50.45833333,3.92777778,,Q31
Q4006932,45.471,12.2555,,Q38
Q9266578,54.3549,18.5934,,Q36
Q24944600,50.01975,19.895944,,Q36
Q2297688,48.681,8.97374,,Q183
Q839210,22.426565,114.211248888,,Q148
Q3895445,45.302701,9.479377,,Q38
Q668385,45.657541,13.827782,,Q38
Q3968168,37.4069,-122.1518,,Q30
Q4361441,59.87885278,29.82883889,,Q159
Q717461,24.78,121.013611111,4125319,Q865
Q1002766,54.9376,83.1825,,Q159
Q6062532,-34.871416666,-56.250472222,,Q77
Q704542,23.10127,120.282215,,Q865
Q136401753,39.9906375,46.9522781,,Q227
Q3275187,52.233888888,0.144444444,,Q145
Q287340,50.6032,3.1532,7944809,Q142
Q1262899,25.095,55.16,,Q878
Q2537326,52.430226,13.531154,,Q183
Q11247714,52.45496389,16.95380278,,Q36
Q2399528,51.7013,8.7647,,Q183
Q1187093,35.908055555,-78.862777777,,Q30
