wikidata_id,lat,lon,osm_relation_id,name,country
Q59126263,56.834669,60.791329,,Ural Hi-Tech Park,Russia
Q98546218,49.24564,6.93536,,InnovationsCampus Saar,Germany
Q20455546,5.36,100.54972222,7480595,Kulim Hi-tech Park,Malaysia
Q14489975,16.06838,108.08423,,Danang Hi-tech Park,Vietnam
Q45007283,32.566944444,117.6375,,Hefei Xinzhan Hi-tech Industry Development Zone,People's Republic of China
Q986206,31.20781,121.6103,,Zhangjiang Hi-Tech Park,People's Republic of China
Q24836334,31.02137,121.4533,,Zhizu National Hi-Tech Industrial Development Park,People's Republic of China
Q120017310,34.98756,118.25174,,Linyi National High-Tech Zone,People's Republic of China
Q126100978,31.774133341,34.661706486,,Ashdod Hi-Tech Park,Israel
Q56367791,49.813283,24.022484,,IT Park,Ukraine
Q97497375,24.06624,90.22681,,"Hi-Tech City, Kaliakoir",Bangladesh
Q13671540,31.1677,121.42515,,Caohejing Hi-Tech Park,People's Republic of China
Q122210012,23.3537797,91.1474193,,"Sheikh Kamal IT Training and Incubation Center, Lalmai, Cumilla",Bangladesh
Q6840705,20.998144,105.542221,,Hoa Lac Hi-tech Park,Vietnam
Q138634659,22.7161499,90.3491108,,"Sheikh Kamal IT Training and Incubation Center, Barishal",Bangladesh
Q16518261,59.905833333,30.493888888,,Q16518261,Russia
Q10345369,-12.9234309,-38.3880625,,Q10345369,Brazil
Q4259473,19.716111111,-156.033611111,,Natural Energy Laboratory of Hawaii Authority,United States
Q3011553,50.8777,4.412,,Da Vinci Research Park,Belgium
Q3364340,43.962261,4.753935,,parc du Cosmos,France
Q403265,42.94446111,-2.66426944,,Parque Tecnológico de Alava,Spain
Q2974822,50.605555555,3.138611111,7944808,Cité scientifique,France
Q4222421,53.902954,27.976906,,Great Stone Industrial Park,Belarus
Q140387159,52.292123,6.784539,,The Green Box Cleantech Campus,Netherlands
Q28778,39.637786,2.631011,,Parc Balear d'Innovació Tecnològica,Spain
Q15788726,52.625728,13.500843,,BiotechPark Berlin-Buch,Germany
Q2893798,51.8181,-1.30667,,Begbroke Science Park,United Kingdom
Q3151103,50.45833333,3.92777778,,Initialis Science Park,Belgium
Q4006932,45.471,12.2555,,Venice Gateway for Science and Technology,Italy
Q9266578,54.3549,18.5934,,Q9266578,Poland
Q24944600,50.01975,19.895944,,Q24944600,Poland
Q2297688,48.681,8.97374,,Softwarezentrum Böblingen/Sindelfingen,Germany
Q839210,22.426565,114.211248888,,Hong Kong Science Park,People's Republic of China
Q3895445,45.302701,9.479377,,Parco Tecnologico Padano,Italy
Q668385,45.657541,13.827782,,AREA Science Park,Italy
Q3968168,37.4069,-122.1518,,Stanford Research Park,United States
Q4361441,59.87885278,29.82883889,,Petrodvorets Study and Research Complex,Russia
Q717461,24.78,121.013611111,4125319,Hsinchu Science Park,Taiwan
Q1002766,54.9376,83.1825,,"Koltsovo, Novosibirsk Oblast",Russia
Q6062532,-34.871416666,-56.250472222,,Q6062532,Uruguay
Q704542,23.10127,120.282215,,Southern Taiwan Science Park,Taiwan
Q136401753,39.9906375,46.9522781,,Aghdam Industrial Park,Azerbaijan
Q3275187,52.233888888,0.144444444,,Cambridge Science Park,United Kingdom
Q287340,50.6032,3.1532,7944809,Haute-Borne,France
Q1262899,25.095,55.16,,Dubai Internet City,United Arab Emirates
Q2537326,52.430226,13.531154,,WISTA,Germany
Q11247714,52.45496389,16.95380278,,Poznan Science and Technology Park,Poland
Q2399528,51.7013,8.7647,,Technologiepark Paderborn,Germany
Q1187093,35.908055555,-78.862777777,,Research Triangle Park,United States
Q197834,39.98116667,116.30894444,,Zhongguancun,People's Republic of China
Q2888581,41.5208,-4.7179,,Q2888581,Spain
Q3621988,41.839166666,12.646944444,,Rome Research Area (Tor Vergata),Italy
Q3732712,44.42444444,8.86388889,,Erzelli Campus,Italy
Q3895761,42.9351,10.918372,,Parco tecnologico e archeologico delle colline metallifere grossetane,Italy
Q1887028,54.601774,22.181894,,Technopolis GS,Russia
Q1543218,52.1174,0.22322,,Granta Park,United Kingdom
Q3726414,45.08795,7.672457,,Environment Park,Italy
Q1091661,50.929983,5.39722681,,Limburg Science Park,Belgium
Q1359930,43.622222222,7.05,13513971,Sophia Antipolis,France
Q30539483,52.481666666,13.356666666,,EUREF,Germany
Q519826,37.686,-121.7095,,Lawrence Livermore National Laboratory,United States
Q2449081,52.30136,7.43887,,Transferzentrum für angepasste Technologien,Germany
Q9182600,53.0756,18.0689,,Bydgoszcz Industrial and Technological Park,Poland
Q106927091,52.414262,9.6354743,,Wissenschafts- und Technologiepark Marienwerder,Germany
Q30903750,53.106972,23.193361,,Scientific and technical Park in Białystok,Poland
Q197386,55.95,38.05,,Fryazino,Russia
Q1967862,53.9267,27.6889,,Belarus High Technologies Park,Belarus
Q11811483,49.8331,18.9758,,Q11811483,Poland
Q116775366,-6.970472222,107.630333333,,Bandung Techno Park,Indonesia
Q2502991,51.9892,4.3856,,TU Delft Campus Zuid,Netherlands
Q1141453,45.4396,7.82773,,Bioindustry Park del Canavese,Italy
Q402956,43.29025833,-2.859475,,Vizcaya Technology Park,Spain
Q1091186,55.6975,37.35777778,,Skolkovo Innovation Center,Russia
Q6062068,43.45145556,-3.87448333,,Parque Científico y Tecnológico de Cantabria,Spain
Q4056106,-33.8947,151.196,,Australian Technology Park,Australia
Q3045584,51.40972,5.45444,,High Tech Campus Eindhoven,Netherlands
Q2399524,51.4913,7.40372,,Technologiepark Dortmund,Germany
Q3661247,-1.689,37.185,,Konza Technopolis,Kenya
Q3815099,41.5279,2.43464,,TecnoCampus,Spain
Q24064360,53.106666666,8.855,,Technologiepark Bremen,Germany
Q24026883,46.614526,14.2634,,Lakeside Science & Technology Park,Austria
Q3558232,60.226869189,25.016112672,,Viikki Science Park,Finland
Q4139013,40.2725,44.34583333,,Gitavan,Armenia
Q123012891,50.278778743,18.683081842,,Q123012891,Poland
Q4598152,36.7384,-4.5542,14279954,Andalusia Technology Park,Spain
Q136505902,44.20060675,12.06688273,,Polo Tecnologico Aeronautico-Spaziale Forlivese,Italy
Q3364768,50.664389,4.62706804,,Louvain-la-Neuve Science Park,Belgium
