Raw_Affiliation,Latitude,Longitude,in_science_park_osm,park_name_osm,univ_research_count,nearest_station_m,nearest_junction_m,method_used_osm,park_name_gt,nearest_park_wikidata_id,distance_to_park_m,in_science_park_gt,agree
Massachusetts Institute of Technology,42.3582529,-71.0966272,False,,10.0,970.4417671790678,261.258090159213,B_density_fallback,University City Science Center,Q7894587,434507.0,False,True
SynQor Inc,,,,,,,,no_coordinates,,,,,
"Nagoya University, Furo-cho, Chikusa-ku, Nagoya, 464-8601, Japan",35.0505938,136.8436933,False,,0.0,529.8447710599736,241.343089296897,B_density_fallback,Kyoto Research Park,Q11374832,100895.1,False,True
"CEA, LETI, L'Université Grenoble Alpes, Grenoble, France",45.1897769,5.7712026,False,,31.0,1197.2900004538997,841.6307590448445,B_density_fallback,Environment Park,Q3726414,149552.3,False,True
"Qorvo, Inc., Richardson, TX, United States of America",32.9686883,-96.7183113,False,,0.0,,606.5431213458742,B_density_fallback,Cummings Research Park,Q5194123,949831.1,False,True
"Department of Information Engineering, University of Padova, Padova, Italy",45.4066496,11.8774407,False,,54.0,1256.3304775719491,2005.1819206866328,B_density_fallback,Venice Gateway for Science and Technology,Q4006932,30352.5,False,True
"School of Engineering, University of Liverpool, Liverpool, United Kingdom",53.4072429,-2.9658337,True,Wavertree Technology Park,5.0,780.0286912679385,1489.5542319730005,A_polygon,Sci-Tech Daresbury,Q18588981,22732.8,False,False
"The Hong Kong University of Science and Technology, Hong Kong, People's Republic of China",22.3358031,114.2659088,False,,1.0,2254.740137932308,2211.7504981941,B_density_fallback,Hong Kong Science Park,Q839210,11551.6,False,True
"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States of America",42.3582529,-71.0966272,False,,10.0,970.4417671790678,261.258090159213,B_density_fallback,University City Science Center,Q7894587,434507.0,False,True
"HRL Laboratories, Malibu, CA, United States of America",34.043533,-118.6959398,False,,1.0,,,B_density_fallback,NASA Research Park,Q6952426,481970.7,False,True
"Department of Electronic and Electrical Engineering, University of Sheffield, Mappin Street, Sheffield, S1 3JD, United Kingdom",53.3806626,-1.4702278,False,,6.0,593.9983523977643,696.1893374644642,B_density_fallback,York Science Park,Q119438225,69098.6,False,True
"imec, Kapeldreef 75, 3001 Leuven, Belgium",50.8653863,4.6795576,False,,167.0,3135.9627686345702,1784.8547757319286,B_density_fallback,Da Vinci Research Park,Q3011553,18824.6,False,True
"Fraunhofer Institute for Integrated Systems and Device Technology, IISB, Schottkystr. 10, 91058 Erlangen, Germany",49.5709191,11.0300856,False,,4.0,3189.155776014266,2525.410321667702,B_density_fallback,Augsburg Innovationspark,Q760517,138361.4,False,True
"Research Center for Nano-Devices and Advanced Materials, Nagoya Institute of Technology, Nagoya 466 8555, Japan",35.1851045,136.8998438,False,,3.0,646.5277393575254,807.4058951424336,B_density_fallback,Kyoto Research Park,Q11374832,107826.2,False,True
"Innovation Center for Multi-Business of Nitride Semiconductors, Nagoya Institute of Technology, Nagoya 466 8555, Japan",35.1851045,136.8998438,False,,3.0,646.5277393575254,807.4058951424336,B_density_fallback,Kyoto Research Park,Q11374832,107826.2,False,True
"Department of Electrical Engineering, University of Notre Dame, Notre Dame, IN, United States of America",41.7045677,-86.2382203,False,,2.0,,2488.5057956270284,B_density_fallback,Ignition Park,Q16847353,5068.5,False,True
"Department of Electrical and Computer Engineering, Materials Science and Engineering, Virginia Tech, Blacksburg, VA, United States of America",37.2296566,-80.4136767,False,,1.0,,2348.460469318748,B_density_fallback,Virginia Tech Corporate Research Center,Q7934608,2856.7,False,True
"Infineon Technologies Austria AG, Siemensstraße 2, 9500 Villach, Austria",46.5953088,13.8562388,False,,0.0,1952.209148983176,1610.7935510724662,B_density_fallback,Lakeside Science & Technology Park,Q24026883,31177.8,False,True
"Inspirit Ventures, Ltd., Blandford Forum, United Kingdom",50.8671161,-2.1597527,False,,0.0,,,B_density_fallback,Winfrith Technology Centre,Q8025062,21835.0,False,True
"James Watt Nanofabrication Centre, University of Glasgow, Glasgow, United Kingdom",55.8727036,-4.2919966,False,,2.0,296.06807891141165,1064.9530668087962,B_density_fallback,"Dundee, Gemini Crescent, Technology Park, Grianan Centre",Q114167851,100982.0,False,True
"Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, United States of America",30.2851494,-97.7339352,False,,3.0,2310.0108499732514,665.2557409054107,B_density_fallback,Cummings Research Park,Q5194123,1149874.6,False,True
"Powdec KK 1-23-15 Wakagi-cho, Oyama city, Tochigi 323-0028, Japan",36.2530024,139.8052643,False,,0.0,3990.709071995958,,B_density_fallback,Tsukuba Science City,Q11602890,30788.3,False,True
Navitas Semiconductor,,,,,,,,no_coordinates,,,,,
"Centre for Device Thermography and Reliability, University of Bristol, Bristol, United Kingdom",51.5007679,-2.5503106,False,,2.0,979.9815666104824,1121.8616347566729,B_density_fallback,Bristol and Bath Science Park,Q16953794,5026.1,False,True
"MicroLink Devices, Inc., Niles, IL, United States of America",42.0173501,-87.7769138,False,,0.0,2100.817014869835,1992.128717029718,B_density_fallback,Ignition Park,Q16847353,131924.0,False,True
"National Institute of Advanced Industrial Science and Technology, Tsukuba, Japan",36.0531797,140.1171149,False,,8.0,3319.8311739815745,2227.074527614166,B_density_fallback,Tsukuba Science City,Q11602890,4970.9,False,True
"Centre for High Frequency Engineering, University of Cardiff, Cardiff, United Kingdom",51.5085908,-3.1905039,False,,0.0,983.0588173816578,351.0581695608975,B_density_fallback,Bristol and Bath Science Park,Q16953794,49342.9,False,True
"Cambridge Centre for GaN, University of Cambridge, Cambridge, United Kingdom",52.1890916,0.1212977,False,,60.0,1250.4657630242175,3112.619251497309,B_density_fallback,Cambridge Science Park,Q3275187,5224.9,False,True
"Zhejiang University, Hangzhou, People's Republic of China",30.2310563,120.0364832,False,,2.0,727.407345916242,1027.257502737884,B_density_fallback,Huawei Lianqiuhu,Q134884779,129665.2,False,True
